title,artist,rank,weeks_on_charts
Birds In The Trap Sing McKnight,Travis Scott,153,256
KG0516,Karol G,154,22
The Life Of Pablo,Kanye West,155,163
AI YoungBoy 2,YoungBoy Never Broke Again,156,95
Famous Friends,Chris Young,157,3
Three Cheers For Sweet Revenge,My Chemical Romance,158,95
High Off Life,Future,159,67
Wunna,Gunna,160,66
Invasion Of Privacy,Cardi B,161,177
DS2,Future,162,162
Fearless (Taylor's Version),Taylor Swift,163,20
Manic,Halsey,164,84
Nothing Was The Same,Drake,165,389
AM,Arctic Monkeys,166,162
"Thank U, Next",Ariana Grande,167,133
TV,Tai Verdes,168,4
Sob Rock,John Mayer,169,6
Pluto x Baby Pluto,Future & Lil Uzi Vert,170,41
Beam Me Up Scotty,Nicki Minaj,171,13
The Very Best Of Daryl Hall  John Oates,Daryl Hall John Oates,172,143
Hey World,Lee Brice,173,40
X 100PRE,Bad Bunny,174,139
Strait Out Of The Box,George Strait,175,56
Red,Taylor Swift,176,173
Harry Styles,Harry Styles,177,95
17,XXXTENTACION,178,196
Country Again (Side A),Thomas Rhett,179,15
Die A Legend,Polo G,180,115
Greatest Hits,Fleetwood Mac,181,203
Dark Lane Demo Tapes,Drake,182,69
Number One Hits,Tim McGraw,183,194
Born Sinner,J. Cole,184,108
35 Biggest Hits,Toby Keith,185,104
The Search,NF,186,104
Whole Lotta Red,Playboi Carti,187,29
Purgatory,Tyler Childers,188,64
All Things Must Pass,George Harrison,189,41
reputation,Taylor Swift,190,154
I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,191,66
If You're Reading This It's Too Late,Drake,192,200
[Hybrid Theory],Linkin Park,193,267
T R A P S O U L,Bryson Tiller,194,242
SOUTHSIDE,Sam Hunt,195,69
Welcome To O'Block,King Von,196,39
True 2 Myself,Lil Tjay,197,95
Confessions,Usher,198,129
Hozier,Hozier,199,214
Greatest Hits,Blink-182,200,67
